"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin
-1.2732544317845949,-1.4951371042559716,-4.430538664366294,-3.857673351519407,-5.121600478776638,-5.331660613828763,-12.206072645530174,-12.206072645530174,-2.3932931819021843
-1.1698936517555607,-1.449293154753144,-4.390776017537855,-3.327777512525594,-5.007825060454346,-5.366563341032011,-5.536808085476328,-12.206072645530174,-2.5123313139127648
-1.0319692679191064,-1.2378405120915703,-4.308500599012359,-3.5085733533209633,-5.052574918713671,-5.540570013696977,-5.908613221880489,-12.206072645530174,-2.042813474222049
-1.07855204749841,-1.445728566987629,-4.166256327681141,-2.8125261003152313,-4.84040291318337,-5.249724076614208,-5.378939792709202,-12.206072645530174,-2.19062961796599
-1.3669503095417204,-1.677016679773498,-4.489199230268415,-3.2572908590679512,-5.319605997961637,-5.422445349451794,-5.466080116637058,-12.206072645530174,-2.2739884243283908
-1.5880669078416916,-1.806306297958531,-4.793845017076281,-3.8220845639744696,-5.4282275230838435,-5.890246441154507,-5.858259300613327,-12.206072645530174,-2.3971853620846213
-1.5851586535552873,-1.8486327561205553,-4.687721906770902,-3.649210934317941,-5.364280877755199,-6.0220971572549296,-5.810323531879086,-12.206072645530174,-2.651539973314459
-0.9465145804600043,-1.116620874219991,-4.107657777299275,-3.8543017241111546,-5.672166183410175,-5.830820285322188,-5.701388226856308,-12.206072645530174,-2.161138835092388
-0.9159903020077271,-1.092433512481304,-4.1031644220884465,-3.782111686307558,-5.560079189240021,-5.735101221851721,-4.759076353094355,-12.206072645530174,-2.0075731014066203
-0.9270395439286063,-1.1177147045895026,-4.208020923545407,-3.673321151823793,-5.662903655670487,-5.933890570959345,-5.516362541448846,-12.206072645530174,-1.9730850456951212
-1.0433180646841673,-1.2785244561729896,-4.097727674096997,-3.5245411741583483,-5.3887622846356,-5.675113388482991,-5.265828564252986,-12.206072645530174,-2.2722762177586633
