,"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin
3020,-0.19237189264745613,-6.907755278982137,-2.2537949288246137,-1.2447947988461912,-2.551046452292545,-2.563949857128453,-4.605170185988091,-5.115995809754082,-2.353878387381596
3021,-1.7719568419318752,-2.900422093749666,-4.074541934925921,-3.123565645063876,-4.268697949366879,-4.8283137373023015,-5.809142990314028,-6.907755278982137,-3.3242363405260273
3022,-0.6254885320861304,-9.210340371976182,-2.234926444520231,-1.9449106487222299,-2.900422093749666,-2.364460496712133,-4.074541934925921,-4.074541934925921,-3.079113882493042
3023,-0.342490308946776,-9.210340371976182,-3.0576076772720784,-1.2801341652915,-3.146555163288575,-1.8838747581358606,-3.6888794541139363,-6.214608098422191,-3.473768074496991
3024,-2.1803674602697964,-2.5257286443082556,-4.605170185988091,-4.135166556742356,-5.809142990314028,-5.521460917862246,-6.907755278982137,-9.721165995742174,-2.430418464503931
3025,-2.513306124309698,-3.0159349808715104,-5.115995809754082,-4.268697949366879,-5.809142990314028,-5.809142990314028,-6.907755278982137,-6.907755278982137,-2.4651040224918206
3026,-1.9661128563728327,-2.4418471603275536,-4.3428059215206005,-3.816712825623821,-4.961845129926823,-5.521460917862246,-6.907755278982137,-6.907755278982137,-2.430418464503931
3027,-1.731605546408308,-2.137070654516472,-5.521460917862246,-3.575550768806933,-4.961845129926823,-5.115995809754082,-6.214608098422191,-6.907755278982137,-2.4534079827286295
3028,-0.8867319296326107,-2.2256240518579173,-3.101092789211817,-2.2164073967529934,-3.270169119255751,-3.170085660698769,-4.961845129926823,-5.809142990314028,-2.2926347621408776
3029,-0.6386589952758756,-2.4651040224918206,-2.900422093749666,-1.6450650900772514,-2.631089159966082,-2.995732273553991,-3.7722610630529876,-5.115995809754082,-2.2537949288246137
3030,0.4472466421231194,-3.2188758248682006,-1.7372712839439852,-1.720369473141382,-3.473768074496991,-2.0249533563957662,-3.912023005428146,-2.419118909249997,-0.3410828491788962
3031,-1.5606477482646683,-2.8134107167600364,-4.017383521085972,-2.9565115604007097,-3.9633162998156966,-4.710530701645918,-5.521460917862246,-9.721165995742174,-2.6036901857779675
3032,-0.9571127263944101,-2.6036901857779675,-3.146555163288575,-1.9449106487222299,-3.079113882493042,-3.7297014486341915,-4.710530701645918,-6.907755278982137,-2.7333680090865
3033,-0.8462983600541201,-4.074541934925921,-2.563949857128453,-1.7092582477163114,-2.5383074265151158,-3.3524072174927233,-4.8283137373023015,-6.907755278982137,-2.8824035882469876
3034,-0.2903523010076598,-6.907755278982137,-2.137070654516472,-1.7719568419318752,-2.995732273553991,-1.7719568419318752,-3.4420193761824103,-4.509860006183766,-2.864704011147587
3035,-2.6036901857779675,-3.5092733915886534,-5.521460917862246,-4.509860006183766,-5.298317366548036,-5.809142990314028,-5.115995809754082,-9.721165995742174,-2.7488721956224653
3036,-1.8325814637483102,-3.588888510742722,-4.199705077879927,-2.8824035882469876,-3.4420193761824103,-3.649658740960655,-10.40436284544895,-9.721165995742174,-2.900422093749666
3037,0.592049787092017,-8.454062142441547,-2.6309502807213616,0.25036953756780117,-1.7181930722711378,-1.4208858058895097,-2.068857748140191,-3.6050213308459047,-7.085620927826676
3038,0.7502361475440725,-8.73938252653576,-2.34236596300589,0.4526221934982933,-1.631990316904612,-0.9699025013228042,-1.8584122237828316,-4.508734358609818,-6.969968097084235
3039,-0.5208759596194922,-8.677365134345116,-4.376760525001382,-3.1762235064132236,-3.328913930077138,-1.2836294754100745,-4.032440758907286,-5.814155532137572,-3.556168397873316
3040,-1.4954398083806886,-8.635047249131533,-4.186065192175892,-3.3833967570366488,-4.059943135504768,-2.573239626979307,-3.8642333415922976,-9.721165995742174,-6.065326395706437
3041,0.6740662927471534,-7.349519385679369,-5.207893651544992,-2.408222658137648,-3.538509282840893,-2.262290879325605,-5.775685326030668,-1.9296486303156966,-2.260834429020783
3042,-0.6199338942325393,-7.882003724890804,-5.326937029918573,-4.42165983608875,-2.021818019130825,-2.552388467777247,-4.934526560515488,-3.885847573071531,-4.7803068560092985
3043,-1.7498500661508454,-8.670820335320295,-9.772459290129724,-9.210340371976182,-9.210340371976182,-4.5087585221310285,-10.40436284544895,-7.439889680710012,-9.210340371976182
3044,0.7758601660201286,-7.3748772147112565,-5.283747031300101,-3.486541959442788,-4.586327234719954,-4.3050141133813975,-10.40436284544895,-1.720882658671303,-9.210340371976182
3045,0.33937516191063055,-5.503826707934159,-4.448425359584829,-3.2190211854325357,-3.3860253709058408,-2.888715825708974,-4.479661338091043,-3.327335935242883,-2.7453700073244205
3046,-0.026272109338862638,-7.307124433388703,-4.590750846147107,-3.5115236395686265,-3.027759575836343,-3.273692529708911,-10.40436284544895,-3.4048958806690433,-3.806101866948665
3047,-4.5736715189287205,-9.139540106976945,-9.772459290129724,-7.346142418652483,-4.6222140102832245,-2.5337623659059143,-5.878545588584678,-8.061895058927412,-9.210340371976182
3048,-1.742969305058623,-8.228665596376938,-5.521460917862246,-3.146555163288575,-4.710530701645918,-3.079113882493042,-10.40436284544895,-1.0244328904938582,-5.809142990314028
3049,-1.8682086413914611,-8.31959760502343,-5.952243833954701,-2.8184232585835804,-3.7942399697717626,-3.6809112844647593,-10.40436284544895,-3.9170355472516905,-9.210340371976182
3050,-2.565249402470539,-8.43775233986443,-9.772459290129724,-3.600868576791223,-3.738069698304708,-2.9393519401178834,-10.40436284544895,-5.809142990314028,-9.210340371976182
3051,-1.401204973855645,-8.044335965887864,-5.496768305271875,-2.1803674602697964,-3.858482238500116,-3.0470255679415414,-10.40436284544895,-3.1748589394514264,-9.210340371976182
3052,-1.4792872279690552,-8.299431710475508,-5.8781358618009785,-2.210917904468222,-3.3813947543659757,-2.32687778556309,-10.40436284544895,-3.3843402645957323,-9.210340371976182
3053,-0.48873802730198596,-8.120281053022266,-3.81217767045843,-2.4510851013124895,-3.5684333010380693,-1.924833823453397,-10.40436284544895,-3.493312670569961,-6.437751649736401
3054,-3.6427595185003834,-8.158596628479863,-9.772459290129724,-2.41942232606274,-4.270986279884891,-3.336955779600691,-5.612206531168992,-9.721165995742174,-4.905599831262375
3055,-1.4205959928169116,-8.023800721934158,-3.4908566889633206,-2.8571318722892047,-3.8532431957611206,-3.0119546354161306,-10.40436284544895,-9.721165995742174,-9.210340371976182
3056,-2.462401794447931,-9.077420098937973,-9.772459290129724,-4.735323847289568,-5.082017979987648,-3.466806459641264,-10.40436284544895,-9.721165995742174,-5.666653596904285
3057,-0.5069996189324617,-8.573456112983564,-3.313186504339442,-2.694147295933219,-3.094448246493149,-1.9132493668157649,-3.3755296349135775,-3.3298073855754824,-9.210340371976182
3058,1.2072873052937658,-9.210340371976182,-1.5888603455182635,-1.438430115540419,-2.4998172625237545,0.17016462652332312,-2.800165490010016,-2.7379940774752822,-2.663554961215659
3059,1.2399382247585446,-9.210340371976182,-1.6474998540842225,-1.3943265328171548,-2.4338333796039997,0.22530122186800913,-2.7551418086360604,-2.722656353491572,-2.5916013884589635
3060,-0.6193392534152254,-9.210340371976182,-4.957776342528917,-1.1746405649646514,-2.932194252750003,-2.757976009871936,-2.9372747039824225,-6.917805614835639,-4.900884430137136
3061,-2.906257267126388,-3.9281523873580295,-9.772459290129724,-4.163694640356894,-5.757183251383316,-5.885304351279592,-7.1184763102977895,-9.721165995742174,-3.0678729513316734
3062,-0.05287348960706815,-9.210340371976182,-1.4668538689783075,-1.775964863329414,-3.0893838296354463,-2.9258331461743237,-4.291820366787733,-3.558553192438362,-4.961845129926823
3063,-1.305230636400163,-3.7224103020949304,-4.704797670756218,-2.5642104105500674,-3.517594578037545,-4.241199520665068,-10.40436284544895,-9.721165995742174,-2.7537760750082776
3064,-0.41209705090621235,-8.46344840341237,-9.772459290129724,-2.12876624869184,-3.6642648933500173,-2.84658839256605,-10.40436284544895,-9.721165995742174,-9.210340371976182
3065,-0.4212896584551358,-7.207771476291562,-9.772459290129724,-1.1316521427463098,-4.199705077879927,-0.9888614247089905,-4.615220521841593,-5.572754212249797,-9.210340371976182
3066,-0.28415496667562407,-7.76062200354642,-5.197386647969596,-2.5238803534506378,-4.625679062619632,-3.800750003018717,-10.40436284544895,-9.721165995742174,-9.210340371976182
3067,-1.4661170929898784,-8.981574447938772,-9.772459290129724,-3.037383182987641,-4.390991748684586,-2.1868447822803616,-10.40436284544895,-9.721165995742174,-9.210340371976182
3068,-1.5639866495301828,-8.161668003884353,-9.772459290129724,-3.571985702642437,-2.785471348070795,-2.0189110419398038,-10.40436284544895,-4.976233867378923,-9.210340371976182
3069,-0.2023854982297004,-8.50518970164166,-9.772459290129724,-3.093953534446249,-4.529962864126475,-2.6279431139626146,-8.570227078439421,-9.721165995742174,-5.3452530114019305
3070,2.6489722991642983,-8.318842571428116,2.1030604072784698,-9.210340371976182,-2.8524981054680834,1.3399624230354017,-2.320749063621717,-9.721165995742174,-1.7270959559023327
3071,-1.498657113090742,-7.356917664011848,-3.440375790110293,-2.424783574901673,-3.0827565960819596,-0.8032019503417613,-5.834422992378039,-9.721165995742174,-5.652893086827923
3072,1.640296840020084,-9.110021564303116,-9.772459290129724,1.5086889693334966,-2.1821389399181785,-0.9130460017092661,-1.9797772185668907,0.6230465528804562,-9.210340371976182
3073,-2.96423360649462,-7.925582025788742,-5.083205986931091,-3.767922661454389,-4.546901277864116,-5.426150738057921,-6.214608098422191,-5.572754212249797,-9.210340371976182
3074,-0.26266430947649305,-8.055962556476704,-4.422848629194137,-1.7778565640590636,-3.7722610630529876,-0.43232256227804705,-3.9633162998156966,-6.214608098422191,-6.214608098422191
3075,-4.017383521085972,-7.560400336984783,-9.772459290129724,-9.210340371976182,-9.210340371976182,-9.210340371976182,-8.859116318388185,-8.8584562877946,-4.509860006183766
3076,-3.4112477175156566,-9.15042572650509,-5.521460917862246,-4.8283137373023015,-5.809142990314028,-6.214608098422191,-6.907755278982137,-9.721165995742174,-4.961845129926823
3077,-1.2658482080440236,-3.1606943214202117,-3.816712825623821,-2.5383074265151158,-3.4420193761824103,-4.8283137373023015,-6.214608098422191,-6.907755278982137,-3.13607459522775
3078,-3.3813947543659757,-9.21034037197617,-6.214608098422191,-4.710530701645918,-6.214608098422191,-6.214608098422191,-10.40436284544895,-9.721165995742174,-5.263591672138984
3079,-2.513306124309698,-4.006480977608571,-6.907755278982137,-4.268697949366879,-5.809142990314028,-5.298317366548036,-10.40436284544895,-9.721165995742174,-3.4507645545776184
3080,-3.1941832122778293,-8.590359299571315,-6.214608098422191,-4.961845129926823,-6.214608098422191,-5.809142990314028,-6.907755278982137,-6.907755278982137,-4.710530701645918
3081,-3.146555163288575,-6.584255994327783,-6.214608098422191,-4.074541934925921,-4.961845129926823,-5.298317366548036,-10.40436284544895,-6.907755278982137,-4.509860006183766
3082,-2.900422093749666,-4.377924034964323,-6.214608098422191,-4.961845129926823,-5.298317366548036,-5.809142990314028,-10.40436284544895,-6.907755278982137,-3.540459448995663
3083,-1.0498221244986778,-3.4420193761824103,-2.7333680090865,-1.8971199848858813,-2.631089159966082,-3.506557897319982,-4.605170185988091,-5.809142990314028,-2.2537949288246137
3084,-0.9996723408132061,-3.611918412977808,-2.8134107167600364,-1.8388510767619055,-2.5383074265151158,-3.473768074496991,-4.605170185988091,-6.214608098422191,-2.4651040224918206
3085,-0.06613980250454495,-5.809142990314028,-2.501036031717884,-1.1394342831883648,-1.8971199848858813,-1.04412410338404,-4.017383521085972,-4.710530701645918,-2.563949857128453
3086,-1.9661128563728327,-2.8473122684357177,-5.298317366548036,-3.575550768806933,-4.961845129926823,-4.8283137373023015,-6.907755278982137,-9.721165995742174,-2.364460496712133
3087,-1.2241755116434554,-3.506557897319982,-4.268697949366879,-2.419118909249997,-3.3242363405260273,-2.9759296462578115,-5.521460917862246,-5.809142990314028,-2.8473122684357177
3088,-1.1679623668029029,-4.074541934925921,-4.268697949366879,-2.1541650878757723,-3.506557897319982,-3.146555163288575,-5.521460917862246,-6.214608098422191,-2.617295837833746
3089,-0.9038682118755978,-6.214608098422191,-2.563949857128453,-1.5095925774643841,-2.7806208939370456,-3.816712825623821,-3.863232841258714,-5.521460917862246,-2.234926444520231
3090,-0.7256703722655053,-9.210340371976182,-2.513306124309698,-1.6607312068216509,-2.234926444520231,-2.659260036932778,-3.816712825623821,-5.115995809754082,-2.631089159966082
3091,0.44276089285186127,-9.210340371976182,-2.05572501506252,-1.313043899380298,-1.6982691261407161,-0.3243460568233724,-3.3242363405260273,-3.9633162998156966,-2.1892564076870427
3092,-1.5896352851379207,-2.24431618487007,-4.710530701645918,-3.4112477175156566,-4.961845129926823,-5.115995809754082,-6.214608098422191,-9.721165995742174,-2.2633643798407643
3093,-1.7092582477163114,-3.912023005428146,-4.422848629194137,-3.101092789211817,-4.509860006183766,-4.135166556742356,-5.521460917862246,-6.907755278982137,-2.9187712324178627
3094,-0.9137938516755678,-9.210340371976182,-3.540459448995663,-2.551046452292545,-3.146555163288575,-2.24431618487007,-3.540459448995663,-6.214608098422191,-4.422848629194137
3095,-0.3523983871714722,-9.210340371976182,-2.5383074265151158,-2.282782465697866,-3.540459448995663,-1.6044503709230613,-3.816712825623821,-4.509860006183766,-3.7722610630529876
3096,-0.5996568374726063,-3.146555163288575,-2.645075401940822,-1.7092582477163114,-2.9759296462578115,-3.2188758248682006,-3.912023005428146,-4.961845129926823,-2.0635681925235456
3097,-0.2876820724517809,-2.4079456086518722,-1.8643301620628905,-3.4112477175156566,-4.710530701645918,-3.9633162998156966,-5.115995809754082,-5.298317366548036,-0.8651224452997557
3098,-0.9808292530117262,-3.0159349808715104,-3.1941832122778293,-1.7660917224794772,-3.079113882493042,-3.912023005428146,-4.961845129926823,-6.214608098422191,-2.6036901857779675
3099,-0.959720289801491,-4.074541934925921,-2.995732273553991,-1.8388510767619055,-3.2188758248682006,-3.611918412977808,-4.961845129926823,-6.214608098422191,-2.419118909249997
3100,-2.577021938695806,-3.5075671930850483,-5.298317366548036,-4.422848629194137,-9.210340371976182,-9.210340371976182,-10.40436284544895,-9.721165995742174,-2.6882475738060303
3101,-1.5371172508544744,-3.44667670580883,-3.4112477175156566,-2.6736487743848776,-3.506557897319982,-3.6888794541139363,-10.40436284544895,-9.721165995742174,-3.0576076772720784
3102,-1.6917331551609305,-5.520814554627723,-4.855519905554757,-3.206206421767538,-5.408132232555244,-3.0120649281748886,-5.624047506637347,-7.019734176093624,-3.230442461239666
3103,-1.2612488721456663,-2.9869389746950348,-3.759381528924525,-3.4342372357403557,-4.703885069962909,-3.8004816306952387,-5.255880525657375,-8.40188521507038,-2.4427671235939084
3104,2.701495432131536,-8.847356285696486,-3.146555163288575,-2.2681836662767134,-9.210340371976182,2.039647664299317,-10.40436284544895,-2.0690952496256916,-9.210340371976182
3105,-0.6549269677402474,-8.648795500383883,-4.464539056248346,-3.1766548094342384,-3.433772227594334,-1.2915443381741292,-3.819534985992995,-5.311605260874972,-9.210340371976182
3106,-1.7998722893386054,-7.975214151433668,-4.22865339983582,-2.822939303226539,-3.561929672854968,-2.6064100976030153,-10.40436284544895,-4.240804888765353,-9.210340371976182
