,"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin
8577,0.17227122094045313,0.0,-3.8076629901039034,-2.0826466726287842,-2.8806194664534863,-1.5755196942306398,-1.5145823814214214,-1.8904754421672127,-6.907755278982137
8578,1.1497805752425092,0.0,-2.1303138720535926,-2.946942109384559,-1.5436501718960973,0.9185681366181956,-3.738069698304708,-6.907755278982137,-6.907755278982137
8579,0.8018221971856014,0.0,-2.5120723178607696,-3.1326981286271485,-6.907755278982137,0.36748629015038237,-1.2170580438745915,-6.907755278982137,-6.907755278982137
8580,1.6086976384989506,0.0,-3.8873303928377747,-2.9739707817724783,-6.907755278982137,-1.924833823453397,-6.907755278982137,0.4776617309875571,-6.907755278982137
8581,0.5430835374084365,0.0,-4.344296647485241,-3.117023613619778,-1.9442486021891412,0.07700331061313169,-1.507025427451685,0.0,-3.787676048404453
8582,0.8459984736926998,0.0,-2.7653616525341667,-1.1542181530428173,-3.804284828648119,-1.6660875316143597,-4.212579127302553,0.10840003264233918,-6.907755278982137
8583,-0.7465479572870606,0.0,-3.2441936328524905,-1.973281345851445,-3.3242363405260273,-1.5050778971098575,-4.422848629194137,-4.017383521085972,-5.521460917862246
8584,-0.6713856887784326,0.0,-4.226733750267846,-2.1413169453979233,-3.423442990609475,-2.7150748160391744,-3.907035463917107,-2.3035855933276292,-6.907755278982137
8585,0.025765207886026424,0.0,-4.268697949366879,-1.4192308613661555,-3.9170355472516905,-1.8054527963600575,-3.868006120011372,-1.7921595492493947,-6.907755278982137
8586,1.7397115041833127,0.0,-2.145581344184381,-1.8534221296201618,-3.907035463917107,0.8753437295407489,-6.907755278982137,-4.173387769562553,-6.907755278982137
8587,2.4814757710485402,0.0,-1.7707810628428633,-2.7757938531887296,-6.907755278982137,1.715580122489237,-6.907755278982137,-6.907755278982137,-6.907755278982137
8588,2.0753205620955324,0.0,-1.7214874162427234,-3.1559010257068123,-6.907755278982137,1.366091653802371,-6.907755278982137,-0.5223922601374562,-1.5784238589049309
8589,-0.7414974415009921,-4.615220521841593,-3.0118616554838744,-2.8084231752489974,-4.240527072400182,-2.4157537910996836,-3.3843402645957323,-4.933674252960127,-2.83702058239917
