"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin,Lat,Long,Month,Day,Year
0.68844628,0.3991797991,0.05171455256000001,0.07674492279,0.017988346050000003,0.019170954419999997,0.018526325579999996,6.000000000000003e-05,0.31553675160000005,8.2995,-90.15916666666666,8.0,30.0,2000.0
0.42564945,0.07697957062000002,0.03889588701,0.11469222599999998,0.024041581919999996,0.02193871186,0.022239028249999997,6.000000000000003e-05,0.23287288140000004,8.738833333333334,-90.2945,8.0,30.0,2000.0
0.69954631,0.2255976949,0.06974097174999999,0.15298906210000002,0.02782531073,0.03553871186,0.03371751412000001,6.000000000000003e-05,0.3449896045,8.67,-90.565,8.0,31.0,2000.0
1.2847446,0.567820678,0.11047642940000002,0.2399246102,0.043645107339999996,0.058676881359999995,0.06446522034000002,6.000000000000003e-05,0.5220188023,8.624,-90.58333333333333,8.0,31.0,2000.0
1.4860568,0.4624576949,0.11723326549999999,0.4261048136,0.08002259887,0.10833039549999998,0.07605116384000002,6.000000000000003e-05,0.5700917966,8.519,-90.60066666666667,8.0,31.0,2000.0
2.2828226,1.323391322,0.13673328810000002,0.3403056722999999,0.06199923164000001,0.08565188701,0.07556343503,6.000000000000003e-05,0.8726301017,8.411152,-90.62907999999999,8.0,31.0,2000.0
3.1945997999999998,2.278981243,0.17973703950000003,0.27862268929999995,0.060962305079999994,0.06756429379000001,0.07021884745999998,6.000000000000003e-05,1.232883932,8.2905,-90.66,8.0,31.0,2000.0
4.070488500000001,3.0563299439999994,0.24156248590000004,0.23962110730000002,0.06874870056000003,0.06363579661,0.05734327684000001,6.000000000000003e-05,1.542186757,8.220333333333333,-90.65583333333333,8.0,31.0,2000.0
2.956028,2.214009356,0.1712622373,0.20257509599999998,0.050841717509999995,0.05549152542,0.04051032768,6.000000000000003e-05,0.9696450621,8.101833333333333,-90.68116666666667,8.0,31.0,2000.0
1.0094847,0.24702644069999996,0.09090137852999998,0.27069315250000003,0.04091774010999999,0.07218042938000001,0.049654824859999995,6.000000000000003e-05,0.4301583277,7.8705,-90.7265,8.0,31.0,2000.0
